,Applicant.ID,tags
0,2,  volunteer writer for the uloop blog  
1,3,  marketing intern server prep cook  
2,6,  project assistant  
3,8,  deli clerkserver cashier food prep order taker  
4,11,  cashier  
5,12,  server rec leader  it program management intern  
6,13,  offica assistant cashier assistant  
7,14,  waitress host lifeguard  
8,15,       
9,18,  baristacashier server receptionist  
10,21,  cashier  
11,22,  sandwich artist shift leader personal in home  
12,23,  waiterserver film editor waiterserver  
13,24,  volunteer  
14,26,  cashier  
15,27,  farm intern event organizer lifeguard and childrens program aid  
16,30,  server barback expediter  
17,32,  roundup newspaper intern intern  
18,33,  waitresshostess softlines team trainer nanny  
19,34,    server serverhost  
20,37,  serverfood runner boh  
21,38,  sales person  phone receptionist  
22,39,  waiter red cross certified lifeguard  
23,40,  food server lead  
24,41,     
25,42,retail associate  chocolateer  westfield  ghirardelli chocolate  san francisco courtesy clerk street marketer  
26,42,grand opening new location has entry level positions  bay inc  san francisco courtesy clerk street marketer  
27,42,movie extras actors and models wanted in san francisco ca. part time or full time.  casting  san francisco courtesy clerk street marketer  
28,42,driving partner  uber  san francisco courtesy clerk street marketer  
29,44,  pizza maker  
30,45,  technitian server server  
31,48,  server waitress  
32,49,  gas station cashier office clerk  
33,50,  claremont country club front office intern housekeeping intern  
34,51,  retail sales intern  
35,52,  serverwaiter  
36,54,  wash house depratment host  
37,56,  quickly cashier and kitchen   
38,57,  sales associate activities assistant lot operatorlot monitor  
39,63,  part time server health intern assistant director  
40,66,  merchandizer  
41,68,  bakers assistant sales associate  
42,69,  barista seasonal makeup artist assistantserver  
43,71,  courtesy clerk  
44,73,  cashier  
45,74,  bookseller legal clerical assistant  
46,75,  cashier cashier  
47,76,     
48,77,     
49,78,  impact team member  
50,83,  cashier  
51,84,  tutor hostesscashier  
52,86,  none  
53,88,  sales associate  
54,89,  clerks helper healthcare specialist  combat medic  
55,93,  organizerhelper  
56,95,  sales representative vendor receptionist  
57,96,server  sakae sushi  burlingame cashietwaiter receptionist cashier server
58,96,server  waraku  san francisco cashietwaiter receptionist cashier server
59,96,kitchen staff  izakaya yuzuki  san francisco cashietwaiter receptionist cashier server
60,102,  teachers assistant  
61,103,  sales associate waitresscashier  
62,109,  child care associate office assistant comanager  
63,110,  waitress  
64,111,  cashier  
65,113,  sales representative  
66,116,       
67,117,  waitress waitress floor captain  
68,118,  cashier  
69,120,  intern  
70,122,  greetor  
71,124,  cashier cashier  
72,126,  server  
73,129,  toys associate team captain  
74,131,  shift manager telephone banker hourly manager  
75,133,  supervisor   crew  
76,134,  manager   venetrian blind installer  
77,135,  security guard laborer  
78,137,  shop girl independent child care provider  
79,138,     
80,141,  customer service food server at festivals  
81,143,  marketing director of operations  
82,145,  customer service  
83,146,  manager  
84,147,  server server receptionist  
85,148,  store clerk sales associate food clerk  
86,149,  hostcashierfood prep shift supervisor salesfloor  
87,151,  head lifeguard  
97,153,traveling inventory associate  wis international  citrus heights banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
96,153,traveling inventory associate  wis international  citrus heights banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
95,153,  banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
100,153,server  susumu japanese steak house  roseville banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
94,153,retail project merchandiser  advantage sales  marketing  citrus heights banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
91,153,full charge bookkeeper  accountemps  redwood city banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
92,153,customer service rep ii  zions bancorporation  california bank  trust  fremont banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
98,153,valic financial advisor intern  roseville ca  aig corp  roseville banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
90,153,aml compliance associate  accountemps  san francisco banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
89,153,loan servicing manager  accountemps  san francisco banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
88,153,loan servicing manager  accountemps  san francisco banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
93,153,dockworker part time  saia ltl freight  san jose banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
99,153,accounts receivable clerk  accountemps  redwood city banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
109,153,call center representative  parttime  alliance credit union  san jose banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
101,153,loan closer entry level  accountemps  pleasanton banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
113,153,customer service representative  accountemps  concord banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
106,153,customer service representative  accountemps  walnut creek banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
111,153,jumpstart your accounting career this holiday season  accountemps  san francisco banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
110,153,  banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
108,153,startup seeking experienced underwriter  accountemps  san francisco banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
112,153,underwriting assistant  accountemps  san francisco banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
105,153,investment operations  accountemps  san francisco banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
104,153,investment operations  accountemps  san francisco banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
103,153,traveling inventory associate  wis international  citrus heights banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
102,153,inventory general accountant  accountemps  san jose banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
107,153,financial analyst  accountemps  san jose banker  front desk agent operations supervisor photographer barista host server sales rep customer service rep
114,154,  cashier barista cashier  
115,155,  florist  
116,157,  multicultural immersion program intern graphic designer  
117,161,  team member employee  
118,162,  nanny  
119,164,  cashier cashier team member  
120,166,  shift lead host  
121,169,     
122,172,  teacher assistant  
123,174,  receptionist  
124,175,  none none none  
125,180,  server  
126,183,  serverbusserhost  
127,184,     
128,188,  beauty advisor sales associate  
129,191,     
130,192,  administrative assistant  
131,193,  none  
132,194,  teacher  
133,196,  none  
134,198,  phlebotomist  
135,201,     
136,208,  hostess digital design intern  
137,210,  laboratory assistant  
138,215,  sales person  
139,219,  hostess  
140,220,  waiter  food server catering  
141,221,  attractions associate service shoewomens specialist  
142,222,  digital strategist  
143,223,  data analytics     researcher on the human technology coevolution  
144,227,  customer service  
145,229,     
146,230,  server  
147,239,  sales associate  
148,240,     
149,243,  none  
150,244,  cashiersandwich maker  
151,247,  crew member  
152,249,  server server busser food runner private event bar tender  
153,250,     
154,251,     
155,252,  busser dishwasher  
156,255,  barista  
157,256,  cashierserver host production area sales rep customer service rep book keeper receptionist server
158,257,  hostcashierdoor person  
159,259,  waitress  
160,265,  host server bartender  
161,266,  assistant  
162,267,  waitress  
163,271,  helper  
164,274,  supervisor  
165,279,  sales associate  
166,280,  server server  
167,282,  cashier  
168,285,  bookkeeper parttime bookkeeperadministrative assistant  
169,287,  store sales associate certified sales associate  
170,290,  gcic terminal operator  
171,292,     
172,297,  server  
173,301,  bartender bartenderserver  
174,302,  bartender server  
175,303,  line cook  
176,304,  registered dental assistant  
177,306,  cookline cook  
178,307,  busboy  
179,309,  bartender  
180,313,  server  
181,314,  technology associate  
182,315,  store keeper assistant  
183,316,  intern  
184,317,  hostess  
185,320,  truck driver  
186,326,  java developer  
187,327,  temporary worker  
188,330,  resident advisor  
189,331,  none none  
190,340,  caregiver  
191,341,  dishwasher prep cook  
192,343,  waitress and bartended  
193,355,  barista shift supervisor school admin  
194,361,  hostcashier  
195,362,  team member team member  
196,365,  intern  
197,366,  volunteerbarback  
